offset,length,text,translation
0xf5ae0,90,"メモリースティック#Pos[0,-8]#Rubi[ＴＭ]#Pos[5,8]　が
入っていません。
このまま進めますか？","记忆棒#Pos[0,-8]#Rubi[ＴＭ]#Pos[5,8]　未插入。要继续吗？"
0xf5b3c,80,"ロードに失敗しました。
システムデータが壊れています。
初期化後にセーブしますか？","读取失败。系统数据已损坏。
初始化后要保存吗？"
0xf5bb0,60,"システムデータのロードに
失敗しました。
このまま進めますか？","系统数据读取失败。要继续吗？"
0xf5bf0,30,システムデータをセーブ中です。,正在保存系统数据。
0xf5c30,60,"システムデータのセーブに
失敗しました。
このまま進めますか？","系统数据保存失败。要继续吗？"
0xf5e78,186,"ゲームデータの一部を
記録メディアにセーブします。
このセーブされた#Color[-1,0,255,255]インストールデータ#Color[-1,255,255,255]を
使用することにより、
ロード時間を短縮することができます。","将游戏数据的一部分保存到存储介质。
使用此保存的#Color[-1,0,255,255]安装数据#Color[-1,255,255,255]，
可以缩短读取时间。"
0xf5f34,128,"インストールデータをセーブするには
#Color[-1,0,255,255]315MB#Color[-1,255,255,255]以上の空き容量を持つ
記録メディアが必要です。
","保存安装数据需要
具有#Color[-1,0,255,255]315MB#Color[-1,255,255,255]以上可用空间的存储介质。
"
0xf5fb8,33,"データインストールを
行いますか？","要进行数据安装吗？"
0xf5ffc,54,"既にインストールデータが
存在します。
上書きしますか？","安装数据已存在。要覆盖吗？"
0xf6054,49,"インストールに失敗しました。
処理を終了しますか？","安装失败。要结束处理吗？"
0xf609c,49,"インストールデータを
使用するように変更しました。","已更改为使用安装数据。"
0xf60d0,51,"インストールデータを
使用しないように変更しました。","已更改为不使用安装数据。"
0xf61a8,72,"ロードに失敗しました。
セーブデータが壊れています。
処理を終了しますか？","读取失败。存档数据已损坏。
要结束处理吗？"
0xf6210,43,"ロードに失敗しました。
処理を終了しますか？","读取失败。要结束处理吗？"
0xf623c,30,システムデータをロード中です。,正在读取系统数据。
0xf625c,49,"システムデータがありません。
処理を終了しますか？","没有系统数据。要结束处理吗？"
0xf6290,90,"メモリースティック#Pos[0,-8]#Rubi[ＴＭ]#Pos[5,8]　が
入っていません。
処理を終了しますか？","记忆棒#Pos[0,-8]#Rubi[ＴＭ]#Pos[5,8]　未插入。
要结束处理吗？"
0xf62ec,70,"ロードに失敗しました。
システムデータが壊れています。
初期化しますか？","读取失败。系统数据已损坏。
要初始化吗？"
0xf6334,60,"システムデータのロードに
失敗しました。
処理を終了しますか？","系统数据读取失败。要结束处理吗？"
0xf6374,57,"データの読み込み先を変更中です。
しばらくお待ちください。","正在更改数据读取位置。请稍候。"
0xf642c,29,"%s
プレイ時間 %02d:%02d:%02d
","%s
游戏时间 %02d:%02d:%02d
"
0xf644c,26,"プレイ時間 %02d:%02d:%02d
","游戏时间 %02d:%02d:%02d
"
0xf64b8,43,"セーブに失敗しました。
処理を終了しますか？","保存失败。要结束处理吗？"
0xf64e4,30,システムデータをロード中です。,正在读取系统数据。
0xf6504,90,"メモリースティック#Pos[0,-8]#Rubi[ＴＭ]#Pos[5,8]　が
入っていません。
処理を終了しますか？","记忆棒#Pos[0,-8]#Rubi[ＴＭ]#Pos[5,8]　未插入。
要结束处理吗？"
0xf6560,70,"ロードに失敗しました。
システムデータが壊れています。
上書きしますか？","读取失败。系统数据已损坏。要覆盖吗？"
0xf65c4,60,"システムデータのロードに
失敗しました。
処理を終了しますか？","系统数据读取失败。要结束处理吗？"
0xf6604,30,システムデータをセーブ中です。,正在保存系统数据。
0xf6644,60,"システムデータのセーブに
失敗しました。
処理を終了しますか？","系统数据保存失败。要结束处理吗？"
0xf66e0,33,"システムデータを
セーブしますか？","要保存系统数据吗？"
0xf6704,30,システムデータをロード中です。,正在读取系统数据。
0xf6724,90,"メモリースティック#Pos[0,-8]#Rubi[ＴＭ]#Pos[5,8]　が
入っていません。
処理を終了しますか？","记忆棒#Pos[0,-8]#Rubi[ＴＭ]#Pos[5,8]　未插入。
要结束处理吗？"
0xf6780,70,"ロードに失敗しました。
システムデータが壊れています。
上書きしますか？","读取失败。系统数据已损坏。要覆盖吗？"
0xf67e4,60,"システムデータのロードに
失敗しました。
処理を終了しますか？","系统数据读取失败。要结束处理吗？"
0xf6824,30,システムデータをセーブ中です。,正在保存系统数据。
0xf6864,60,"システムデータのセーブに
失敗しました。
処理を終了しますか？","系统数据保存失败。要结束处理吗？"
0xf6a00,18,ログがありません。,没有日志。
0xf6b24,37,"準備中です。
しばらくお待ちください。","正在准备。请稍候。"
0xf6b4c,56,"この文章の位置に
シーンジャンプします。
よろしいですか？","将跳转到本文所在位置的场景。确定吗？"
0xf6bc0,10,【選択肢】,【选择项】
0xf6bec,22,（送りボタン入力待ち）,（等待按下推进按钮）
0xf7500,33,プレイ時間 %02d:%02d:%02d#n%s#n%s,游戏时间 %02d:%02d:%02d#n%s#n%s
0xf754e,39,"`ﾀクイックセーブします
よろしいですか？","要快速保存吗？"
0xf7578,37,"クイックロードします
よろしいですか？","要快速读取吗？"
0xf75a0,33,"終了して戻ります
よろしいですか？","要结束并返回吗？"
0x137098,2,汐,
0x1370bc,6,つぐみ,
0x1370e0,4,澄空,
0x137104,2,叶,
0x137128,4,一葉,
0x13714c,4,末璃,
0x137170,6,クロハ,
0x137194,4,柚子,
0x1371b8,2,岳,
0x1371dc,8,テトメト
0x137200,4,真紀,
0x137224,4,律子,
0x137248,4,担任,
0x13726c,6,参拝客,
0x137290,12,バスの運転手,
0x1372b4,6,おばけ,
0x1372d8,6,ミーア,
0x1372fc,4,会長,
0x137320,10,弓道部員Ａ,
0x137344,10,弓道部員Ｂ,
0x137368,10,弓道部員Ｃ,
0x13738c,4,結菜,
0x1373b0,8,結菜の父,
0x1373d4,8,結菜の母,
0x1373f8,2,犬,
0x13741c,4,黒川,
0x137440,4,三池,
0x137464,8,仔犬１号,
0x137488,4,仔猫,
0x1374ac,8,仔猫２号,
0x1374d0,8,仔猫３号,
0x1374f4,8,仔猫４号,
0x137518,8,仔猫５号,
0x13753c,4,主婦,
0x137560,6,受験生,
0x137584,8,女バスＡ,
0x1375a8,8,女バスＢ,
0x1375cc,10,女子生徒Ａ,
0x1375f0,10,女子生徒Ｂ,
0x137614,10,女子生徒Ｃ,
0x137638,10,女子生徒Ｄ,
0x13765c,6,女教師,
0x137680,8,小鳥１号,
0x1376a4,4,少女,
0x1376c8,4,少年,
0x1376ec,8,新体操部,
0x137710,10,男子生徒Ａ,
0x137734,10,男子生徒Ｂ,
0x137758,10,男子生徒Ｃ,
0x13777c,4,白石,
0x1377a0,4,幽霊,
0x1377c4,6,竿竹屋,
0x1377e8,4,子供,
0x13780c,4,板長,
0x137830,8,つぐみＢ,
0x138e88,2,汐,
0x138ec0,6,つぐみ,
0x138ef8,4,澄空,
0x138f30,2,叶,
0x138f68,4,一葉,
0x138fa0,4,末璃,
0x138fd8,6,クロハ,
0x139010,4,柚子,
0x139048,2,岳,
0x139080,8,テトメト,
0x1390b8,4,真紀,
0x139115,17,… テキストを送る,… 推进文本
0x139155,23,… バックログ画面を開く,… 打开回顾画面
0x139195,17,… メニューを開く,… 打开菜单
0x1391d5,29,… テキストウィンドウを閉じる,… 关闭文本窗口
0x139215,15,… オートON/OFF,… 自动ON/OFF
0x139255,17,… スキップON/OFF,… 跳过ON/OFF
0x139295,13,… 項目の選択,… 选择项目
0x1392d5,7,… 同上,… 同上
0x139315,7,… 同上,… 同上
0x139355,7,… 同上,… 同上
0x139395,37,"#Color[-1,128,128,128]… 使用しません","#Color[-1,128,128,128]… 不使用"
0x1393d5,24,… 操作説明の表示/非表示,… 操作说明的显示/隐藏
0x139415,21,… スクリーンショット,… 截图
0x139455,7,… 決定,… 确定
0x139495,37,"#Color[-1,128,128,128]… 使用しません","#Color[-1,128,128,128]… 不使用"
0x1394d5,7,… 戻る,… 返回
0x139515,7,… 戻る,… 返回
0x139555,37,"#Color[-1,128,128,128]… 使用しません","#Color[-1,128,128,128]… 不使用"
0x139595,37,"#Color[-1,128,128,128]… 使用しません","#Color[-1,128,128,128]… 不使用"
0x1395d5,13,… 項目の選択,… 选择项目
0x139615,7,… 同上,… 同上
0x139655,37,"#Color[-1,128,128,128]… 使用しません","#Color[-1,128,128,128]… 不使用"
0x139695,37,"#Color[-1,128,128,128]… 使用しません","#Color[-1,128,128,128]… 不使用"
0x1396d5,37,"#Color[-1,128,128,128]… 使用しません","#Color[-1,128,128,128]… 不使用"
0x139715,24,… 操作説明の表示/非表示,… 操作说明的显示/隐藏
0x139755,37,"#Color[-1,128,128,128]… 使用しません","#Color[-1,128,128,128]… 不使用"
0x139795,13,… 音声の再生,… 播放语音
0x1397d5,7,… 戻る,… 返回
0x139815,17,… シーンジャンプ,… 场景跳转
0x139855,7,… 戻る,… 返回
0x139895,37,"#Color[-1,128,128,128]… 使用しません","#Color[-1,128,128,128]… 不使用"
0x1398d5,37,"#Color[-1,128,128,128]… 使用しません","#Color[-1,128,128,128]… 不使用"
0x139915,13,… 項目の選択,… 选择项目
0x139955,7,… 同上,… 同上
0x139995,7,… 同上,… 同上
0x1399d5,7,… 同上,… 同上
0x139a15,37,"#Color[-1,128,128,128]… 使用しません","#Color[-1,128,128,128]… 不使用"
0x139a55,24,… 操作説明の表示/非表示,… 操作说明的显示/隐藏
0x139a95,37,"#Color[-1,128,128,128]… 使用しません","#Color[-1,128,128,128]… 不使用"
0x139ad5,35,… 音声出力のON/OFF(顔パネル選択時),… 语音输出ON/OFF(选择表情面板时)
0x139b15,29,… デフォルトの設定に全て戻す,… 全部恢复默认设置
0x139b55,37,"#Color[-1,128,128,128]… 使用しません","#Color[-1,128,128,128]… 不使用"
0x139b95,7,… 戻る,… 返回
0x139bd5,19,… 前種別先頭へ移動,… 移动到前类开头
0x139c15,19,… 次種別先頭へ移動,… 移动到下类开头
0x139c55,13,… 項目の選択,… 选择项目
0x139c95,7,… 同上,… 同上
0x139cd5,41,… 項目の変更(顔パネル選択時は項目の選択),… 切换项目(选择表情面板时为选择项目)
0x139d15,7,… 同上,… 同上
0x139d55,37,"#Color[-1,128,128,128]… 使用しません","#Color[-1,128,128,128]… 不使用"
0x139d95,24,… 操作説明の表示/非表示,… 操作说明的显示/隐藏
0x139dd5,37,"#Color[-1,128,128,128]… 使用しません","#Color[-1,128,128,128]… 不使用"
0x139e15,7,… 再生,… 播放
0x139e55,21,… ボリュームを上げる,… 提高音量
0x139e95,21,… ボリュームを下げる,… 降低音量
0x139ed5,12,… 停止/戻る,… 停止/返回
0x139f15,15,… 前のページへ,… 上一页
0x139f55,15,… 次のページへ,… 下一页
0x139f95,13,… 項目の選択,… 选择项目
0x139fd5,7,… 同上,… 同上
0x13a015,7,… 同上,… 同上
0x13a055,7,… 同上,… 同上
0x13a095,37,"#Color[-1,128,128,128]… 使用しません","#Color[-1,128,128,128]… 不使用"
0x13a0d5,24,… 操作説明の表示/非表示,… 操作说明的显示/隐藏
0x13a115,37,"#Color[-1,128,128,128]… 使用しません","#Color[-1,128,128,128]… 不使用"
0x13a155,7,… 決定,… 确定
0x13a195,37,"#Color[-1,128,128,128]… 使用しません","#Color[-1,128,128,128]… 不使用"
0x13a1d5,37,"#Color[-1,128,128,128]… 使用しません","#Color[-1,128,128,128]… 不使用"
0x13a215,7,… 戻る,… 返回
0x13a255,15,… 前のページへ,… 上一页
0x13a295,15,… 次のページへ,… 下一页
0x13a2d5,24,… 項目/サムネイルの選択,… 选择项目/缩略图
0x13a315,7,… 同上,… 同上
0x13a355,7,… 同上,… 同上
0x13a395,7,… 同上,… 同上
0x13a3d5,37,"#Color[-1,128,128,128]… 使用しません","#Color[-1,128,128,128]… 不使用"
0x13a415,24,… 操作説明の表示/非表示,… 操作说明的显示/隐藏
0x13a455,37,"#Color[-1,128,128,128]… 使用しません","#Color[-1,128,128,128]… 不使用"
0x13a495,7,… 送る,… 发送
0x13a4d5,37,"#Color[-1,128,128,128]… 使用しません","#Color[-1,128,128,128]… 不使用"
0x13a515,37,"#Color[-1,128,128,128]… 使用しません","#Color[-1,128,128,128]… 不使用"
0x13a555,7,… 戻る,… 返回
0x13a595,13,… 前の画像へ,… 上一张图片
0x13a5d5,13,… 次の画像へ,… 下一张图片
0x13a615,37,… 画像のスクロール(大きな画像の場合),… 滚动图片(大图片时)
0x13a655,7,… 同上,… 同上
0x13a695,7,… 同上,… 同上
0x13a6d5,7,… 同上,… 同上
0x13a715,37,"#Color[-1,128,128,128]… 使用しません","#Color[-1,128,128,128]… 不使用"
0x13a755,24,… 操作説明の表示/非表示,… 操作说明的显示/隐藏
0x13a795,21,… スクリーンショット,… 截图
0x143740,2,汐,
0x143764,6,つぐみ,
0x143788,4,澄空,
0x1437ac,2,叶,
0x1437d0,4,一葉,
0x1437f4,4,末璃,
0x143818,6,クロハ,
0x14383c,4,柚子,
0x143860,2,岳,
0x143884,8,テトメト,
0x1438a8,4,真紀,
0x1438cc,4,律子,
0x1438f0,4,担任,
0x143914,6,参拝客,
0x143938,12,バスの運転手,
0x14395c,6,おばけ,
0x143980,6,ミーア,
0x1439a4,4,会長,
0x1439c8,10,弓道部員Ａ,
0x1439ec,10,弓道部員Ｂ,
0x143a10,10,弓道部員Ｃ,
0x143a34,4,結菜,
0x143a58,8,結菜の父,
0x143a7c,8,結菜の母,
0x143aa0,2,犬,
0x143ac4,4,黒川,
0x143ae8,4,三池,
0x143b0c,8,仔犬１号,
0x143b30,4,仔猫,
0x143b54,8,仔猫２号,
0x143b78,8,仔猫３号,
0x143b9c,8,仔猫４号,
0x143bc0,8,仔猫５号,
0x143be4,4,主婦,
0x143c08,6,受験生,
0x143c2c,8,女バスＡ,
0x143c50,8,女バスＢ,
0x143c74,10,女子生徒Ａ,
0x143c98,10,女子生徒Ｂ,
0x143cbc,10,女子生徒Ｃ,
0x143ce0,10,女子生徒Ｄ,
0x143d04,6,女教師,
0x143d28,8,小鳥１号,
0x143d4c,4,少女,
0x143d70,4,少年,
0x143d94,8,新体操部,
0x143db8,10,男子生徒Ａ,
0x143ddc,10,男子生徒Ｂ,
0x143e00,10,男子生徒Ｃ,
0x143e24,4,白石,
0x143e48,4,幽霊,
0x143e6c,6,竿竹屋,
0x143e90,4,子供,
0x143eb4,4,板長,
0x143ed8,8,つぐみＢ,
